,seqn,sex,age,martl,school,poverty,hh_size,martl_verb,sex_verb,sex_verb_map,sex_verb_apply
0,1.0,2.0,2.0,,,0.86,3.0,,female,f,f
1,2.0,1.0,77.0,,,5.0,1.0,,male,m,m
2,3.0,2.0,10.0,,1.0,1.47,4.0,,female,f,f
3,4.0,1.0,1.0,,,0.57,7.0,,male,m,m
4,5.0,1.0,49.0,1.0,,5.0,3.0,married,male,m,m
5,6.0,2.0,19.0,5.0,1.0,1.21,2.0,never married,female,f,f
6,7.0,2.0,59.0,1.0,,1.7,1.0,married,female,f,f
7,8.0,1.0,13.0,,1.0,0.53,7.0,,male,m,m
8,9.0,2.0,11.0,,1.0,1.7,4.0,,female,f,f
9,10.0,1.0,43.0,4.0,,1.7,1.0,separated,male,m,m
10,11.0,1.0,15.0,5.0,1.0,1.25,5.0,never married,male,m,m
11,12.0,1.0,37.0,5.0,,4.93,4.0,never married,male,m,m
12,13.0,1.0,70.0,1.0,,1.07,2.0,married,male,m,m
13,14.0,1.0,81.0,3.0,,2.67,1.0,divorced,male,m,m
14,15.0,2.0,38.0,3.0,,4.52,2.0,divorced,female,f,f
15,16.0,2.0,85.0,2.0,,0.38,1.0,widowed,female,f,f
16,17.0,1.0,2.0,,,0.92,5.0,,male,m,m
17,18.0,2.0,1.0,,,2.84,4.0,,female,f,f
18,19.0,1.0,0.0,,,2.4,4.0,,male,m,m
19,20.0,2.0,23.0,6.0,,3.03,2.0,living with partner,female,f,f
20,21.0,1.0,18.0,5.0,3.0,1.8,6.0,never married,male,m,m
21,22.0,2.0,13.0,,1.0,0.75,5.0,,female,f,f
22,23.0,2.0,12.0,,2.0,5.0,4.0,,female,f,f
23,24.0,2.0,53.0,1.0,,2.67,2.0,married,female,f,f
24,25.0,2.0,42.0,1.0,,1.77,3.0,married,female,f,f
25,26.0,2.0,14.0,5.0,1.0,2.51,7.0,never married,female,f,f
26,27.0,1.0,18.0,5.0,3.0,1.7,7.0,never married,male,m,m
27,28.0,1.0,18.0,5.0,1.0,3.43,5.0,never married,male,m,m
28,29.0,1.0,62.0,3.0,,1.07,2.0,divorced,male,m,m
29,30.0,2.0,7.0,,2.0,1.7,4.0,,female,f,f
30,31.0,2.0,15.0,5.0,1.0,0.33,4.0,never married,female,f,f
31,32.0,1.0,10.0,,2.0,1.54,5.0,,male,m,m
32,33.0,1.0,46.0,,,1.78,5.0,,male,m,m
33,34.0,2.0,38.0,5.0,,0.92,7.0,never married,female,f,f
34,35.0,1.0,2.0,,,5.0,3.0,,male,m,m
35,36.0,2.0,6.0,,,4.61,5.0,,female,f,f
36,37.0,1.0,1.0,,,5.0,4.0,,male,m,m
37,38.0,1.0,1.0,,,1.7,4.0,,male,m,m
38,39.0,1.0,7.0,,1.0,0.32,6.0,,male,m,m
